,Partido,Localidad,,,CABLEMODEM,DIALUP,,,WIRELESS,TELEFONIAFIJA,,,link,Latitud,
,La Plata,Barrio Las Malvinas,,,--,--,,--,--,--,,SI,6441030,"-34,9374880163466",
,La Plata,Barrio Las Quintas,0,,--,--,--,,--,--,--,,6441030,"-34,9257210987549","-58,0393403036748"
BUENOS AIRES,,Lomas de Copello,420,--,,--,--,--,,--,--,--,,"-34,9520385659845","-57,8409385980167"
BUENOS AIRES,,,0,--,,,SI,--,,,SI,SI,,,"-58,0582328038691"
BUENOS AIRES,La Plata,Country Club El Rodeo,,--,--,--,,--,--,--,SI,,6441010,"-35,0794688053886","-58,1393275732941"
,La Plata,El Retiro,,,--,--,,,--,--,,,6441030,"-34,9476175562489",
BUENOS AIRES,La Plata,,0,--,--,,--,--,--,--,SI,SI,,"-35,038806066743","-58,0593061620077"
BUENOS AIRES,,,108,--,,,--,--,,,--,--,6441020,,"-57,8440249586726"
BUENOS AIRES,,Joaquin Gorina,0,--,,--,SI,--,,SI,,SI,6441030,"-34,9017817335757",
BUENOS AIRES,,,0,--,,,SI,--,--,--,SI,,6441030,"-34,8985896635727","-58,0143972026636"
,La Plata,Jose Melchor Romero,0,,SI,--,--,,--,,SI,SI,,,"-58,0362904746611"
BUENOS AIRES,La Plata,La Cumbre,,--,--,--,,,SI,--,SI,SI,,"-34,9235917717359","-58,0019478733944"
BUENOS AIRES,,,207620,SI,,,SI,SI,,SI,,,6441030,"-34,920863104693","-57,9540560062469"
BUENOS AIRES,,La Providencia,0,--,,--,--,--,,--,,--,6441030,"-35,0232476",
BUENOS AIRES,,Lisandro Olmos,0,--,,,--,--,,--,SI,SI,,"-34,9976086009747","-58,043377425691"
BUENOS AIRES,La Plata,,0,--,SI,,SI,--,SI,,SI,SI,,,"-57,9850539062724"
,La Plata,Manuel B Gonnet,0,,SI,--,SI,,--,SI,SI,,6441030,"-34,8819511933447","-58,0189915342036"
BUENOS AIRES,La Plata,Poblet,,--,--,--,,--,--,--,,--,6441030,"-35,0604581",
,La Plata,Ringuelet,,,SI,--,,,--,,SI,SI,6441030,,"-57,9913781921596"
,La Plata,Rufino De Elizalde,0,,--,--,--,,--,--,SI,SI,,"-34,9710900774179","-57,9524351288235"
BUENOS AIRES,,,0,SI,,,--,--,,--,,,6441050,"-34,9437333541431",
BUENOS AIRES,,ruta del sol,2312,SI,,--,--,--,,--,SI,,6441050,"-34,9437333541431","-58,1732652389706"
,La Plata,Tolosa,0,,SI,--,SI,,--,SI,SI,SI,,"-34,9007699307169","-57,9821293495972"
BUENOS AIRES,La Plata,Transradio,,--,--,--,,SI,--,,SI,SI,6441030,,"-58,081733864461"
BUENOS AIRES,La Plata,,0,--,SI,,SI,--,SI,SI,SI,,6441030,"-34,8776205187118","-58,0907139194439"
BUENOS AIRES,,Villa Elvira,0,--,,--,SI,--,,--,,SI,6441030,"-34,9406437624757",
BUENOS AIRES,La Plata,Villa Garibaldi,,--,--,--,,--,SI,,--,--,,,"-57,8404966243711"
,La Plata,Villa Montoro,0,,--,--,,,SI,,SI,SI,6441030,,"-57,9025001308298"
,Pilar,Pilar,86158,,SI,SI,SI,,SI,SI,,SI,6638040,"-34,4663318396358",
,Pilar,Presidente Derqui,,,SI,--,,,SI,SI,,,6638040,"-34,4928616935261",
BUENOS AIRES,,Roberto De Vicenzo,0,--,,--,--,--,,,SI,SI,6638040,,"-58,7669941785147"
BUENOS AIRES,,,5324,--,,,--,SI,,,SI,SI,,,"-58,7573470164393"
,Pilar,Tortuguitas,,--,--,--,,SI,SI,--,SI,,6638040,"-34,4578061717121","-58,76209072062"
,Pilar,Villa Astolfi,6735,,SI,--,SI,,SI,--,,,6638040,"-34,4858983446269",
,Pilar,Villa Rosa,,,SI,SI,,,SI,,SI,SI,6638040,,"-58,8539345779841"
,Pilar,Zelaya,3461,,SI,--,--,,SI,,SI,SI,,,"-58,893696088678"
BUENOS AIRES,,,0,--,,,--,--,,--,,SI,6644010,"-37,1641593745618",
BUENOS AIRES,,Ostende,0,--,,--,--,--,,--,SI,,6644010,"-37,1300477581888",
BUENOS AIRES,,Pinamar,25397,SI,,--,SI,SI,,SI,SI,SI,,"-37,0777448860202","-56,8437227435213"
BUENOS AIRES,Pinamar,,0,--,SI,,--,--,--,,SI,SI,6644010,,"-56,890291998877"
,Presidente Perón,Barrio America Unida,,,--,--,--,,--,--,,,6648010,"-34,886197581853",
BUENOS AIRES,Presidente Perón,Guernica,,SI,SI,SI,,--,SI,SI,,SI,6648010,"-34,9230592108536",
BUENOS AIRES,Puán,,319,--,--,,--,--,--,,--,--,6651040,,"-62,9360284730803"
BUENOS AIRES,,,95,--,,,--,--,,--,--,--,,"-37,7017920523646","-62,9006764415683"
,Puán,Bordenave,852,,--,--,SI,,SI,SI,,--,6651020,"-37,8028181597411",
,Puán,Darregueira,,,SI,SI,,,SI,SI,SI,,6651030,"-37,6857562622736","-63,1595663902141"
BUENOS AIRES,,Puán,4743,--,,--,SI,SI,,,SI,SI,,,"-62,7652275731166"
BUENOS AIRES,,,152,--,,,--,--,,SI,--,--,,"-38,2995183581309","-62,9821877089624"
BUENOS AIRES,Puán,,31,--,--,,--,--,--,SI,--,,6651100,"-37,3905464925651","-62,8051325654187"
BUENOS AIRES,,,1858,--,,,SI,--,,SI,,,6651110,"-38,1693097057753",
BUENOS AIRES,Punta Indio,Alvarez Jonte,,--,--,--,,--,--,--,--,--,,"-35,3227800092544","-57,4490768504218"
,Punta Indio,Las Tahonas,0,,--,--,--,,--,,--,--,,,"-57,3822045685313"
BUENOS AIRES,,,954,--,,,--,--,,SI,,SI,6655030,"-35,53126706917",
BUENOS AIRES,Punta Indio,,569,--,--,,--,--,SI,SI,,,6655040,"-35,2808352898089",
BUENOS AIRES,,,6546,SI,,,SI,--,,SI,SI,SI,,"-35,3881552142501","-57,3371601623743"
BUENOS AIRES,Quilmes,,37547,SI,SI,,SI,SI,--,,SI,SI,6658010,,"-58,2766427817003"
,Quilmes,Bernal Oeste,85959,,SI,SI,SI,,--,SI,,,6658010,"-34,7269644246033",
CATAMARCA,Fray Mamerto Esquiú,La Carrera,,--,--,--,,SI,--,--,,--,10063050,"-28,3495576813874",
,Fray Mamerto Esquiú,La Falda De San Antonio,,,--,--,,,SI,,--,--,10063050,,"-65,6988377960377"
,9 de Julio,Carlos María Naón,497,,--,--,--,,--,,SI,SI,,,"-60,8251358750153"
BUENOS AIRES,,,2670,--,,,--,--,,SI,,SI,6588040,"-35,6511928511123",
BUENOS AIRES,,La Aurora (Est. La Niña),531,--,,--,--,--,,--,,,6588050,"-35,4079467934432","-61,2105668204871"
,9 de Julio,Manuel B. Gonnet (Est. French),748,,--,--,SI,,--,SI,SI,SI,,"-35,5201414507378","-60,9989487976537"
BUENOS AIRES,9 de Julio,Marcelino Ugarte (Est. Dennehy),,--,--,--,,,--,,--,SI,,,"-60,7453446826815"
BUENOS AIRES,9 de Julio,,347,--,--,,--,--,--,--,--,,6588080,"-35,5563880098445","-60,5605940553161"
BUENOS AIRES,,Norumbega,57,--,,--,--,--,,SI,,,6588090,"-35,5357392707567",
BUENOS AIRES,9 de Julio,Patricios,,SI,--,--,,--,--,SI,SI,--,,"-35,4395526972374","-60,7174384712323"
,9 de Julio,Villa General Fournier (Est. 9 de Julio Sud),,,--,--,,,SI,,SI,SI,6588120,,"-60,8647207106461"
,Adolfo Alsina,Carhué,9660,,--,SI,SI,,SI,SI,,SI,6007010,"-37,1774801030509",
,Adolfo Alsina,Colonia San Miguel Arcángel,,,--,--,,,--,SI,--,,6007020,"-37,4486186469627","-63,117609405389"
BUENOS AIRES,,Delfín Huergo,14,--,,--,--,--,,,--,--,,,"-63,2331690622102"
BUENOS AIRES,,,21,--,,,--,--,,--,--,SI,,"-37,3563345638716","-62,4387637810214"
,Adolfo Alsina,Esteban Agustín Gascón,,,--,--,,--,--,SI,--,,6007050,"-37,4544378016288","-63,2565950033782"
,Adolfo Alsina,La Pala,27,,--,--,--,,--,--,,--,6007060,"-36,6613400852941",
,Adolfo Alsina,Maza,,,--,--,,,SI,SI,SI,SI,,"-36,7999468137731","-63,3385151506224"
BUENOS AIRES,Escobar,Ingeniero Maschwitz,,SI,SI,--,,--,SI,,SI,SI,,,"-58,7303342412363"
BUENOS AIRES,,,3783,--,,,SI,--,,--,SI,,6252010,"-34,3285234890863","-58,8506997728362"
BUENOS AIRES,Escobar,,37480,SI,SI,,SI,--,SI,SI,,SI,6252010,"-34,3964888336318",
BUENOS AIRES,Escobar,,16903,SI,SI,,SI,SI,,,SI,SI,6252010,,"-58,8402291878847"
BUENOS AIRES,,Puerto Paraná,0,--,,--,--,--,,--,SI,SI,,"-34,2467","-58,7308"
BUENOS AIRES,Esteban Echeverría,9 De Abril,,,SI,SI,,--,SI,SI,,,6260010,"-34,7565075768115",
,Esteban Echeverría,Canning,7941,,SI,--,SI,,SI,SI,SI,,6260010,"-34,8849791351051","-58,4778099372334"
CATAMARCA,,Collagasta,373,--,,--,--,--,,,--,--,,,"-65,7282690165025"
CATAMARCA,,,0,--,,,SI,--,,,SI,--,10063050,,"-65,7175369854892"
BUENOS AIRES,Adolfo Alsina,Rivera,,--,--,--,,--,--,SI,,,6007080,"-37,1583546113813","-63,2442194943605"
,Adolfo Alsina,Thames,,,--,--,,,--,--,,--,6007010,"-36,9291655620507",
BUENOS AIRES,Adolfo Alsina,,0,--,--,,--,--,--,,--,--,,,"-63,2405658599852"
BUENOS AIRES,,,16,--,,,--,--,,,--,--,6007110,,"-63,133808887439"
BUENOS AIRES,,Adolfo Gonzales Chaves (Est. Chaves),9066,SI,,SI,SI,--,,SI,,SI,6014010,"-38,0333995087596",
BUENOS AIRES,Adolfo Gonzales Chaves,,1625,--,,,SI,--,SI,SI,,,6014020,"-37,9635021758562",
,Adolfo Gonzales Chaves,Juan E. Barra,212,,--,--,--,,SI,,--,--,6014030,,"-60,484639770555"
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,,--,--,--,,,SI,SI,SI,SI,,"-38,1766861391835","-60,1708487303777"
BUENOS AIRES,,,8260,SI,,,SI,--,,SI,SI,,6021010,"-35,0330734347841","-60,2806197287099"
BUENOS AIRES,,Coronel Seguí,146,--,,--,--,--,,--,,,6021020,"-34,8681189984321",
BUENOS AIRES,Alberti,,412,SI,--,,--,--,--,,SI,SI,6021030,,"-60,4025971632697"
BUENOS AIRES,,,192,--,,,--,--,,SI,--,--,,"-35,1243819752343","-60,2200612615259"
BUENOS AIRES,Alberti,Villa Grisolía (Est. Achupallas),,--,--,--,,--,--,--,,SI,6021050,"-35,1096178332808",
,Alberti,Villa María,,,--,--,,,--,--,,,6021060,"-34,8881255447686",
,Alberti,Villa Ortiz (Est. Coronel Mom),815,,--,--,--,,--,,SI,SI,,,"-60,3048498633642"
MISIONES,Apóstoles,Rincón de Azara,,--,--,--,,--,--,,--,--,54007050,,"-55,6318879848456"
MISIONES,,San José,5338,SI,,--,SI,--,,SI,,,54007060,"-27,7653179990542",
BUENOS AIRES,,,30271,SI,SI,,SI,SI,SI,SI,,SI,6028010,"-34,8015580737331",
,Almirante Brown,Burzaco,,,SI,SI,,,SI,,SI,SI,,,"-58,3986874871405"
,Almirante Brown,Claypole,44098,,SI,SI,SI,,SI,SI,SI,SI,,"-34,8044759080477","-58,3447825531042"
BUENOS AIRES,,,46366,--,,,--,--,,--,,,6028010,"-34,8210751643113",
BUENOS AIRES,Almirante Brown,,61985,SI,SI,,SI,--,SI,SI,SI,,6028010,"-34,8860114180413","-58,3818301842512"
,Almirante Brown,Jose Mármol,,,SI,SI,,,SI,,SI,SI,6028010,,"-58,3681475603787"
CATAMARCA,Fray Mamerto Esquiú,La Tercena,,--,--,--,,--,SI,--,SI,--,,"-28,3734473479931","-65,7081292515981"
,Almirante Brown,Longchamps,,SI,SI,SI,,--,SI,SI,SI,,6028010,"-34,8609450255718","-58,3891476922426"
,Almirante Brown,Malvinas Argentinas,25844,,SI,SI,SI,,SI,SI,,SI,6028010,"-34,8189583169642",
BUENOS AIRES,Almirante Brown,,17928,SI,SI,,SI,--,SI,SI,SI,SI,,"-34,8556895005541","-58,3616465427911"
BUENOS AIRES,,Rafael Calzada,60422,SI,,SI,SI,--,,,SI,SI,,,"-58,350598184222"
,Almirante Brown,San Francisco Solano,30355,,SI,SI,SI,,SI,SI,,SI,6028010,"-34,7866743578473",
,Almirante Brown,San Jose,,,SI,SI,,,SI,SI,SI,,6028010,"-34,7673771924196","-58,3432771404358"
MISIONES,Apóstoles,Tres Capones,,--,--,--,,--,--,,--,--,,,"-55,608042877744"
,Cainguás,1º de Mayo,,,--,--,--,,--,--,--,SI,,"-27,1660848947706","-55,029165269622"
BUENOS AIRES,Exaltación de la Cruz,,1207,--,--,,--,SI,SI,--,,--,6266050,"-34,3273003551547",
BUENOS AIRES,,Parada Robles - Pavón,8008,SI,,--,SI,--,,SI,SI,,6266060,"-34,3581118951493","-59,0310010709452"
BUENOS AIRES,,Aeropuerto Internacional Ezeiza,5651,SI,,SI,SI,SI,,SI,SI,SI,,"-34,8128216283518","-58,5521650062885"
BUENOS AIRES,,,3444,SI,,,SI,--,,,SI,SI,6270010,,"-58,5087006002723"
,Ezeiza,Carlos Spegazzini,25990,,SI,SI,SI,,SI,SI,SI,,6270010,"-34,9338489869515","-58,5780017334776"
,Ezeiza,José Maria Ezeiza,,,SI,SI,,,SI,SI,,,6270010,"-34,8536100103068",
BUENOS AIRES,Ezeiza,,33227,SI,SI,,SI,SI,,,SI,SI,6270010,,"-58,5558695462288"
MISIONES,,Nueva Delicia,817,--,,--,--,--,,,--,--,,"-26,1791395472552","-54,5836572818887"
,Eldorado,Pueblo Nuevo,651,,--,--,--,,--,--,,--,54042055,"-26,2445413608016",
BUENOS AIRES,Ezeiza,Tristán Suarez,,SI,SI,SI,,--,SI,SI,,,6270010,"-34,8851527149847",
BUENOS AIRES,,,64077,SI,,,SI,--,,,SI,SI,6274010,,"-58,2229120039488"
BUENOS AIRES,Florencio Varela,,0,--,--,,--,--,--,,SI,SI,,,"-58,2787454299742"
BUENOS AIRES,,,26005,SI,,,SI,--,,SI,,,6274010,"-34,812285887223",
BUENOS AIRES,,Florencio Varela,149676,SI,,SI,SI,SI,,SI,,SI,6274010,"-34,7960544308506",
,Florencio Varela,Gobernador Julio A. Costa,,,SI,SI,,,--,SI,SI,SI,,"-34,8152397261388","-58,3082334245906"
,Florencio Varela,Ingeniero Juan Allan,32994,,SI,--,SI,,--,,SI,SI,6274010,,"-58,2110437322304"
BUENOS AIRES,,La Capilla,0,--,,--,SI,--,,SI,,,6274010,"-34,9437330109546",
BUENOS AIRES,,,0,--,,,--,--,SI,--,SI,,6441030,"-34,9830288461923","-57,8674653074052"
BUENOS AIRES,,Gerli,33704,SI,,SI,SI,--,,,SI,SI,,,"-58,3838628492162"
BUENOS AIRES,,,55952,SI,,,SI,SI,,,SI,SI,6434010,,"-58,3725047463731"
,Lanús,Lanús Oeste,159094,,SI,SI,SI,,SI,SI,SI,,6434010,"-34,6957815314992","-58,416253274019"
,Lanús,Monte Chingolo,,,SI,SI,,,--,SI,,SI,6434010,"-34,7302098940207",
BUENOS AIRES,Lanús,Remedios Escalada De San Martin,,SI,SI,SI,,--,SI,,SI,SI,6434010,,"-58,397669711018"
,Lanús,Valentín Alsina,41716,,SI,SI,SI,,SI,SI,SI,SI,,,"-58,4134851675076"
BUENOS AIRES,Laprida,,8840,--,SI,,SI,--,--,SI,,SI,6448010,"-37,5467976434903",
BUENOS AIRES,,Pueblo Nuevo,36,--,,,--,--,,--,,,6448020,"-37,3263227",
,Laprida,Pueblo San Jorge,,,--,--,,,SI,SI,--,--,,"-37,2298626892886","-60,9621658450441"
BUENOS AIRES,Las Flores,Coronel Boerr,,--,--,--,,--,SI,,--,--,,,"-59,0693547287839"
BUENOS AIRES,,,43,--,,,SI,--,,--,--,,6455020,"-35,8815483511482","-59,4063369903389"
BUENOS AIRES,,Las Flores,21455,SI,,--,SI,--,,SI,,,6455030,"-36,0154969145348",
,Las Flores,Pardo,,,--,--,,,SI,--,SI,SI,,"-36,2437580460508","-59,3662916338311"
,Leandro N. Alem,Alberdi Viejo,318,,--,--,--,,SI,,SI,SI,,,"-61,8448787838164"
,Leandro N. Alem,El Dorado,318,,--,--,,,SI,SI,,,6462020,"-34,6528608747523",
BUENOS AIRES,Leandro N. Alem,Fortín Acha,,--,--,--,,--,SI,--,--,,6462030,"-34,3430420274499","-61,5156655267073"
BUENOS AIRES,,Juan Bautista Alberdi (Est. Alberdi),3404,SI,,--,SI,--,,,SI,SI,6462040,,"-61,8121893821736"
BUENOS AIRES,Leandro N. Alem,,2468,--,SI,,--,--,SI,--,SI,SI,,"-34,5217246234597","-61,391182899484"
BUENOS AIRES,Leandro N. Alem,Vedia,,SI,--,--,,SI,SI,SI,,,6462060,"-34,4973984349932",
,Fray Mamerto Esquiú,Pomancillo Este,,,--,--,,,--,SI,,--,10063020,"-28,3087173740113",
,Quilmes,Villa La Florida,35135,,SI,SI,SI,,SI,SI,SI,SI,,"-34,7688841339243","-58,2957092489115"
,Ramallo,El Paraíso,,,--,--,,,--,,--,--,,,"-59,9791123483107"
BUENOS AIRES,,Las Bahamas,31,--,,--,--,--,,--,SI,,6665020,"-33,6366100825527","-59,9895563465816"
BUENOS AIRES,,,4570,--,,,SI,--,,SI,,,6665030,"-33,7674497804832",
BUENOS AIRES,Ramallo,,13319,SI,SI,,SI,SI,SI,,SI,SI,6665040,,"-60,0072209741607"
BUENOS AIRES,,Villa General Savio (Est. Sánchez),1511,--,,--,--,--,,--,SI,SI,,"-33,4352672179447","-60,1451316522293"
BUENOS AIRES,Ramallo,Villa Ramallo,,SI,SI,--,,--,--,SI,,,6665060,"-33,502293213764",
,Rauch,Rauch,12705,,--,SI,,,SI,SI,SI,,6672010,"-36,7755035485732","-59,0871114029954"
BUENOS AIRES,,,11685,SI,,,SI,SI,,SI,SI,SI,,"-35,4903412429492","-62,9763759840765"
BUENOS AIRES,Rivadavia,,1086,SI,--,,SI,--,--,,SI,SI,6679020,,"-63,0230332752501"
,Rivadavia,González Moreno,,,--,--,,,SI,--,SI,,6679030,"-35,5576529256075","-63,3815800402317"
,Rivadavia,Mira Pampa,40,,--,--,--,,--,--,,--,6679040,"-35,8703867348478",
BUENOS AIRES,,,239,--,,,--,--,,,--,--,,,"-63,2898118317476"
BUENOS AIRES,,San Mauricio,18,--,,--,--,--,,,--,--,6679060,,"-63,1882154861262"
BUENOS AIRES,,,522,--,,,SI,--,,SI,,SI,6679070,"-35,2750295400617",
BUENOS AIRES,Rivadavia,,63,--,--,,--,--,--,--,,,6679080,"-35,7656416636683",
,Rojas,Barrio Las Margaritas,0,,--,--,--,,--,,--,--,6686080,,"-60,6820264999894"
BUENOS AIRES,Rojas,La Beba,,--,--,--,,--,--,,--,--,,"-34,1555633544922","-61,0121421813965"
BUENOS AIRES,Rojas,,1107,--,--,,SI,SI,SI,SI,--,,6686020,"-34,0381002651925","-60,8685264174218"
BUENOS AIRES,,,66,--,,,--,--,,--,,,6686030,"-34,3735696107802",
BUENOS AIRES,,Rafael Obligado,901,--,,--,--,--,,,--,SI,,"-34,3588132488617","-60,7845693256007"
BUENOS AIRES,Rojas,,23,--,,,--,--,--,,--,--,6686050,,"-60,6667747497559"
,Rojas,Rojas,19766,,SI,SI,SI,,SI,SI,,,6686060,"-34,1961600446015",
BUENOS AIRES,Rojas,Sol de Mayo,,--,--,--,,,--,--,,--,6686070,"-34,2689448512236",
BUENOS AIRES,Rojas,Villa Manuel Pomar,,--,--,--,,--,--,,--,--,6686080,,"-60,9379380238883"
,Rojas,Villa Parque Cecir,,,--,--,,,--,,--,--,,,"-60,7438336816558"
BUENOS AIRES,Roque Pérez,,399,--,--,,--,--,SI,SI,,--,6693010,"-35,4854690457283",
CATAMARCA,,,254,--,,,--,--,,--,--,,10063030,"-28,3178432457188","-65,7423447192215"
,Fray Mamerto Esquiú,San Antonio,0,,--,--,SI,,--,--,SI,SI,,"-28,4237766788262","-65,7062134320732"
BUENOS AIRES,Arrecifes,Arrecifes,,SI,SI,SI,,SI,SI,,SI,SI,,,"-60,1025564443537"
BUENOS AIRES,Arrecifes,,732,--,--,,SI,--,,SI,SI,,6077020,"-34,0328240475348","-60,1562270065746"
BUENOS AIRES,,Viña,464,SI,,--,--,--,,--,,,6077030,"-33,9922765156087",
BUENOS AIRES,Avellaneda,Area Reserva Cinturón Ecológico,,,--,--,,--,--,--,SI,SI,,"-34,6750056478487","-58,3105634248142"
,Avellaneda,Avellaneda,25325,,SI,SI,SI,,SI,,SI,SI,6035010,,"-58,3656990232718"
,Avellaneda,Crucesita,,,SI,--,,,--,SI,,,6035010,"-34,66910587351",
BUENOS AIRES,Avellaneda,Dock Sud,,SI,SI,--,,--,SI,SI,SI,,6035010,"-34,6491266928534","-58,3411774769137"
BUENOS AIRES,,,32384,--,,,SI,--,,,SI,SI,,,"-58,3726025503412"
BUENOS AIRES,Florencio Varela,,7484,--,SI,,SI,--,--,--,SI,SI,,"-34,8790424725562","-58,2898092496787"
BUENOS AIRES,Florencio Varela,Villa San Luis,,--,SI,--,,--,--,--,,,6274010,"-34,8627929258513","-58,2553232274346"
,Florencio Varela,Villa Santa Rosa,,,SI,SI,SI,,--,SI,,SI,6274010,"-34,8380276482598",
,Florencio Varela,Villa Vatteone,,SI,SI,SI,,--,--,,SI,SI,,,"-58,2635239901185"
,Florentino Ameghino,Blaquier,676,,--,--,--,,SI,SI,SI,SI,,"-34,6356616332748","-62,4786821321875"
BUENOS AIRES,Florentino Ameghino,,7225,SI,--,,SI,--,--,SI,,SI,6277020,"-34,846677699169",
BUENOS AIRES,,Porvenir,156,--,,--,--,--,,--,--,,6277030,"-34,9522292183733","-62,2174229886622"
BUENOS AIRES,,,1,--,,,--,--,,--,--,--,,"-38,4348806367321","-58,216863731472"
BUENOS AIRES,General Alvarado,,6623,--,--,,SI,SI,SI,,SI,SI,6280010,,"-57,8415353121543"
,General Alvarado,Mar del Sur,,,--,SI,,,SI,SI,SI,,6280020,"-38,3446881533109","-57,9920393065731"
BUENOS AIRES,General Alvarado,Mechongué,,SI,--,--,,--,SI,SI,,,6280030,"-38,1486545138318",
CATAMARCA,Paclín,,129,--,--,,--,--,SI,,--,--,10077060,,"-65,6079383578395"
CATAMARCA,,Las Lajas,136,--,,--,--,SI,,--,--,--,,"-27,826913357423","-65,7401079267206"
,Paclín,Monte Potrero,186,,--,--,--,,--,--,,SI,10077080,"-28,19124607288",
BUENOS AIRES,Lincoln,Arenaza,,--,--,--,,--,--,SI,SI,,6469010,"-34,9846043002155","-61,7729116988591"
BUENOS AIRES,,Bayauca,541,--,,--,--,--,,,--,SI,6469020,,"-61,2895451446375"
BUENOS AIRES,,,72,--,--,,--,--,--,,--,--,,,"-61,3250128810539"
BUENOS AIRES,Lincoln,,234,--,--,,--,--,SI,--,,,6469040,"-35,3913662871435",
BUENOS AIRES,,,1041,SI,,,--,--,,SI,,SI,6469050,"-35,3321817215807",
BUENOS AIRES,Lincoln,El Triunfo,,--,--,SI,,--,--,,SI,SI,,"-35,0882210775847","-61,5163333232822"
,Lincoln,Las Toscas,,,--,--,,,--,,--,--,6469070,,"-61,8061599731445"
BUENOS AIRES,,Lincoln,28051,SI,,,SI,--,,SI,,,6469080,"-34,869042222818",
BUENOS AIRES,Lincoln,,1962,--,--,,--,SI,SI,SI,SI,,6469090,"-35,1426386337075","-62,2439028944602"
BUENOS AIRES,,,2982,--,,,SI,--,,,SI,SI,6469100,,"-61,9707859541264"
BUENOS AIRES,,Triunvirato,76,--,,--,--,--,,,--,--,,"-34,6758379792473","-61,4657087059048"
,Lobería,Arenas Verdes,,,--,--,,,SI,--,,SI,6476010,"-38,5463782386967",
,Lobería,Licenciado Matienzo,76,,--,--,--,,SI,--,,,6476020,"-37,9097927118145",
,Lobería,Lobería,13005,,--,SI,SI,,SI,,SI,SI,,,"-58,7822303314999"
BUENOS AIRES,Lobería,Pieres,,--,--,--,,--,SI,,--,SI,6476040,,"-58,670580006548"
BUENOS AIRES,,,10358,SI,,SI,SI,--,,SI,SI,,6693020,"-35,4016375824204","-59,3346857845207"
BUENOS AIRES,Saavedra,,514,--,--,,SI,--,--,SI,,--,6700010,"-37,512917973477",
BUENOS AIRES,Saavedra,Colonia San Martín,,--,--,--,,--,--,,--,--,,,"-62,3326095560459"
,Saavedra,Dufaur,,,--,--,,,--,SI,--,--,,"-37,9428223013646","-62,284864272698"
BUENOS AIRES,,Espartillar,785,--,,--,SI,--,,SI,,,6700040,"-37,3604343942367",
BUENOS AIRES,,,516,--,,,SI,--,,--,--,,6700050,"-37,7192518502325","-62,6071296330023"
,Saavedra,Las Encadenadas,9,,--,--,--,,--,,--,--,6700055,,"-62,4704140736323"
,Saavedra,Pigüé,,,--,--,,,--,SI,SI,SI,,"-37,6063896033626","-62,4057728759143"
BUENOS AIRES,Saavedra,Saavedra,,--,--,--,,--,SI,SI,SI,,6700070,"-37,7636402199499","-62,3506328041255"
,Saladillo,Alvarez de Toledo,,,--,--,,,--,SI,,--,6707010,"-35,6391609182127",
BUENOS AIRES,Saladillo,,0,--,--,,--,--,--,--,--,--,,"-35,767700734608","-59,3038642874232"
BUENOS AIRES,,Cazón,209,--,,--,SI,--,,,--,--,,,"-59,6645037628687"
,Saladillo,Del Carril,,,--,--,,,SI,SI,,SI,6707040,"-35,5127172285926",
BUENOS AIRES,Saladillo,Polvaredas,,--,--,--,,--,--,--,,,6707050,"-35,593907231155","-59,5079734849201"
,Eldorado,Puerto Mado,342,,--,--,,,--,--,--,--,,"-26,2310899121585","-54,6247146607981"
MISIONES,Eldorado,Puerto Pinares,,--,--,--,,--,--,,--,SI,,,"-54,6857660084129"
CABA,,SAN CRISTOBAL,48611,SI,,SI,SI,SI,,SI,SI,,2000010,"-34,623864473461","-58,4018857979853"
CATAMARCA,Tinogasta,,4693,--,--,,SI,SI,SI,SI,,,10105110,"-27,69316213413",
CATAMARCA,,,0,--,,,--,--,,,--,--,,,"-67,4981013989976"
CATAMARCA,,La Ramadita,0,--,,--,--,--,,--,--,--,,"-27,6442427673373","-67,6139458012753"
,Tinogasta,Los Balverdis,,,--,--,,,--,--,,--,10105120,"-28,2769854029709",
,Tinogasta,Medanitos,999,,--,--,--,,--,--,--,,10105130,"-27,5239130706008","-67,5891477326484"
CATAMARCA,,Palo Blanco,992,--,,--,--,--,,,--,--,,,"-67,7592295432626"
CATAMARCA,Tinogasta,,0,--,--,,--,--,--,,--,--,10105080,,"-67,6168389660358"
CATAMARCA,Tinogasta,Punta del Agua,,--,--,--,,--,--,--,,,10105150,"-27,2106668219369",
,Tinogasta,Saujil,339,,--,--,--,,--,--,,--,10105160,"-27,5632127581426",
CATAMARCA,Tinogasta,,301,--,--,,--,--,--,--,--,SI,,"-27,3270122428844","-67,4747701838904"
CABA,,LINIERS,44132,SI,,,SI,SI,,,SI,SI,2000010,,"-58,5191298958228"
CORDOBA,,Capilla del Monte,11181,SI,,--,--,--,,SI,,SI,14091040,"-30,8563966713395",
CORDOBA,,,672,--,,,--,--,,--,--,,14091050,"-31,1697129911083",
,Punilla,Charbonier,235,,--,--,--,,SI,,--,--,14091060,,"-64,5441595530858"
,Punilla,Cosquín,,,SI,--,,,SI,,SI,SI,,,"-64,4655312574209"
CORDOBA,,,510,--,--,,--,--,SI,--,--,,14091080,"-31,4787781890782","-64,5773466914484"
CORDOBA,,Estancia Vieja,909,--,,--,--,--,,--,,,14091090,"-31,3842597063571",
CORDOBA,,Huerta Grande,5925,--,,--,SI,--,,,SI,SI,14091100,,"-64,484304266589"
CABA,,,18604,SI,,,SI,SI,,,SI,SI,,,"-58,4749447458843"
