,Partido,Localidad,,,CABLEMODEM,DIALUP,,,WIRELESS,TELEFONIAFIJA,,,link,Latitud,
BUENOS AIRES,,,0,--,,,--,--,,--,,SI,6364030,"-34,555",
CABA,,,131699,SI,,,SI,SI,,,SI,SI,2000010,,"-58,4217452253939"
CHUBUT,Escalante,,175196,SI,SI,,SI,SI,SI,SI,SI,SI,,"-45,8729846778063","-67,5430559979427"
,Escalante,Diadema Argentina,,,--,--,,,SI,--,,,26021040,"-45,7906089158021",
CHUBUT,Escalante,Km. 11 - Cuarteles,,--,--,--,,--,--,--,--,,26021020,"-45,7707679612545","-67,4358046744231"
CHUBUT,Escalante,KM. 3 - General Mosconi,,--,--,--,,,--,--,SI,SI,,"-45,8318281251079","-67,4917096424434"
,Escalante,KM. 5 - Presidente Ortiz,0,,--,--,--,,--,,--,--,,,"-67,4695736235974"
CHUBUT,Escalante,,0,--,,,--,--,--,--,SI,,26021020,"-45,7988982385959","-67,4314970230436"
CABA,,BOEDO,47306,SI,,SI,SI,SI,,SI,,SI,2000010,"-34,6299600080664",
,Escalante,Rada Tilly,9098,,SI,SI,SI,,SI,,SI,SI,26021050,,"-67,5653960236573"
,Florentino Ameghino,Camarones,,,--,--,,,SI,,--,SI,,,"-65,7105992934951"
CHUBUT,Florentino Ameghino,,18,--,--,,--,--,SI,--,,--,26028020,"-44,6795783728661",
CHUBUT,,,359,--,,,--,SI,,SI,,,26035010,"-43,1198187614025",
CHUBUT,Futaleufú,Corcovado,,--,--,SI,,SI,--,,--,--,26035020,,"-71,4659616215841"
,Futaleufú,Esquel,,,SI,SI,,,SI,SI,SI,SI,,"-42,9133238858291","-71,3185116319277"
,Mar Chiquita,General Pirán,2934,,--,SI,SI,,SI,SI,,,6518020,"-37,2778606745914",
BUENOS AIRES,Mar Chiquita,La Armonía,,,--,--,,--,SI,--,,SI,6518030,"-37,774854850113",
BUENOS AIRES,,La Baliza,0,--,,--,--,--,,,SI,SI,,,"-57,450820092514"
BUENOS AIRES,Mar Chiquita,,0,--,--,,--,--,,,--,--,6518020,,"-57,4647863685704"
,Mar Chiquita,Mar Chiquita,,,--,--,,,--,SI,,SI,6518040,"-37,7462581727647",
,Mar Chiquita,Mar de Cobo,760,,--,SI,SI,,--,SI,--,,6518050,"-37,7768000427976","-57,455658983424"
,Mar Chiquita,Playa Dorada,,,--,--,,,SI,,SI,SI,6518020,,"-57,5218898754931"
BUENOS AIRES,Mar Chiquita,Santa Clara del Mar,,SI,--,--,,--,SI,,SI,SI,,,"-57,5079487213859"
BUENOS AIRES,,Santa Elena,0,--,,--,--,--,,--,,--,6518020,"-37,8649003626945",
BUENOS AIRES,Mar Chiquita,,956,--,--,,SI,--,SI,SI,,,6518070,"-37,6627994476991",
BUENOS AIRES,,,109,--,,,--,--,,--,--,SI,,"-34,953080822173","-58,78292863718"
BUENOS AIRES,,Marcos Paz,50460,SI,,SI,SI,SI,,,SI,SI,6525020,,"-58,8778211205753"
,Mercedes,Goldney,,,--,--,,,--,--,,,6532005,"-34,6029546709308",
,Benito Juárez,Benito Juárez (Est. Juárez),14279,,--,SI,SI,,SI,SI,,SI,6084020,"-37,6766410210105",
BUENOS AIRES,,López,138,--,,--,SI,--,,,--,--,6084030,,"-59,6278461536299"
BUENOS AIRES,Benito Juárez,,157,--,--,,--,--,--,--,SI,SI,,"-37,3683686253208","-59,7630391604187"
BUENOS AIRES,Benito Juárez,Villa Cacique (Est. Alfredo Fortabat),,--,--,--,,SI,SI,--,,SI,6084050,"-37,6704778893557",
,Berazategui,Berazategui,100855,,SI,SI,SI,,SI,SI,SI,,6091010,"-34,7597493264937","-58,2019645234278"
BUENOS AIRES,Berazategui,,87792,SI,SI,,SI,--,--,,SI,SI,,,"-58,2415010261207"
BUENOS AIRES,,Carlos Tomás Sourigues,11695,SI,,,SI,--,,SI,SI,SI,,"-34,8021192214631","-58,2188212494897"
BUENOS AIRES,,Centro Agrícola El Pato,7847,SI,,--,--,--,,SI,SI,,6091010,"-34,9067557072114","-58,1966995021239"
CORDOBA,,,1288,SI,,,--,--,,SI,,,14168090,"-30,7741941000543",
,Totoral,Simbolar,340,,--,--,--,,--,SI,--,--,,"-30,4752563998131","-63,9850395218446"
,Berazategui,Guillermo E. Hudson,,,SI,SI,,,--,,SI,SI,6091010,,"-58,1439692638183"
BUENOS AIRES,,,14868,SI,,,SI,--,SI,SI,,SI,6091010,"-34,8348420760566",
BUENOS AIRES,,Pereyra,1291,SI,,SI,SI,--,,SI,,,6091010,"-34,8471945391094",
BUENOS AIRES,,,17961,--,,,SI,--,,SI,SI,SI,,"-34,7674201820877","-58,1652686003148"
BUENOS AIRES,,Ranelagh,17183,SI,,SI,SI,SI,,,SI,SI,,,"-58,1989815634425"
,Berazategui,Villa España,,,SI,--,,,--,SI,SI,,6091010,"-34,776063416904","-58,2002532983623"
,Berisso,Barrio Banco Provincia,0,,--,--,--,,--,--,,,6098010,"-34,8752589900973",
,Berisso,Barrio El Carmen (Este),0,,--,--,SI,,SI,,SI,SI,6098010,,"-57,8853552505795"
BUENOS AIRES,Berisso,Barrio Universitario,,--,--,--,,--,--,--,SI,SI,,"-34,9027528834433","-57,9270884333304"
ENTRE RIOS,,,0,--,,--,--,SI,,--,,,30008100,"-32,1819017485871",
ENTRE RIOS,Colón,,58,--,--,,--,--,SI,--,--,,30008040,"-31,9629513486876","-58,5082059489741"
BUENOS AIRES,General Pinto,General Pinto,,--,--,SI,,SI,--,SI,SI,SI,,"-34,764155990724","-61,8900674920122"
