,Partido,Localidad,ADSL,,DIALUP,FIBRAOPTICA,4G,,TELEFONIAFIJA,,SATELITAL
CORDOBA,,Los Molinos,--,--,,--,--,--,,SI,--
,Calamuchita,Los Reartes,,,--,SI,,,SI,SI,
,COMUNA 06,CABALLITO,SI,,SI,SI,SI,,SI,SI,
,Río Primero,La Puerta,,,--,SI,,,SI,,--
CORDOBA,Río Primero,La Quinta,,--,--,--,,--,--,,--
CORDOBA,,Las Gramillas,--,--,,--,SI,--,,--,
CORDOBA,Río Primero,,--,--,--,,--,--,SI,--,
CORDOBA,Río Primero,Maquinista Gallini,,--,--,--,,--,--,,--
,Río Primero,Monte del Rosario,,,--,--,,,--,--,--
CORDOBA,Río Primero,Montecristo,,--,--,SI,,SI,SI,SI,SI
,Río Primero,Obispo Trejo,,,--,--,,,--,--,
CABA,COMUNA 10,,SI,SI,SI,,SI,SI,SI,SI,SI
CORDOBA,,Sinsacate,SI,--,,SI,SI,SI,,,--
CORDOBA,,Villa del Totoral,SI,--,,SI,SI,SI,,SI,
CORDOBA,,,--,--,,,--,--,,--,--
,Tulumba,Churqui Cañada,--,,--,--,--,,--,,--
,Tulumba,El Rodeo,,,--,--,,,--,--,--
CORDOBA,Tulumba,,--,--,--,,--,--,,--,
CORDOBA,,Las Arrias,SI,--,,--,SI,SI,,--,
,COMUNA 14,PALERMO,SI,,SI,SI,SI,,SI,,SI
ENTRE RIOS,Diamante,Aldea Valle María,,--,--,SI,,--,SI,,--
ENTRE RIOS,,,--,--,,,--,--,,SI,
ENTRE RIOS,Diamante,,--,--,--,,--,--,--,--,
ENTRE RIOS,,,SI,SI,,,SI,SI,,,--
ENTRE RIOS,,Estación Camps,--,--,,--,--,--,,SI,--
,Diamante,Estacion Puiggari,,,--,--,,,--,--,
,Diamante,General Alvear,--,,--,--,SI,,SI,SI,
ENTRE RIOS,,General Racedo,--,--,,--,SI,--,,SI,--
FORMOSA,,,SI,SI,,,SI,SI,SI,,SI
FORMOSA,Formosa,,--,--,--,,SI,--,SI,SI,
FORMOSA,,,--,--,,,--,--,,SI,
FORMOSA,Formosa,Mojón de Fierro,,--,--,--,,SI,--,SI,SI
,Formosa,San Hilario,,,--,--,,,--,,SI
,Formosa,Villa del Carmen,--,,--,SI,SI,,--,SI,
FORMOSA,Formosa,Villa Trinidad,,--,--,--,,,--,--,
FORMOSA,,Banco Payaguá,--,--,,--,--,--,,,--
FORMOSA,Laishi,,SI,--,,,SI,--,SI,,SI
,Laishi,Herradura,,,--,--,,,SI,SI,--
,Laishi,San Francisco de Laishi,--,,--,--,SI,,SI,SI,
FORMOSA,,,--,--,,,SI,--,,SI,--
FORMOSA,Laishi,,--,--,--,,--,--,--,,--
,Quemú Quemú,Quemú Quemú,,,SI,SI,,,SI,SI,SI
LA PAMPA,Quemú Quemú,Relmo,,--,--,--,,SI,--,--,
LA PAMPA,Quemú Quemú,Villa Mirasol,,,--,--,,--,SI,,--
,Rancul,Caleufú,--,,--,SI,SI,,SI,--,SI
LA PAMPA,Rancul,,--,--,--,,--,--,,--,
LA PAMPA,,La Maruja,--,SI,,--,--,--,,--,SI
,Rancul,Parera,--,,--,SI,SI,,SI,,SI
,Rancul,Pichi Huinca,,,--,SI,,,SI,,--
,Rancul,Quetrequén,,,--,SI,,,SI,SI,
LA PAMPA,Rancul,Rancul,,--,--,SI,,--,SI,SI,SI
LA PAMPA,,,--,SI,,,--,--,,,SI
LA PAMPA,Realicó,,--,--,--,,--,--,SI,SI,SI
LA PAMPA,Realicó,,--,--,--,,--,--,SI,SI,--
MENDOZA,,Bowen,--,SI,,--,SI,SI,,SI,
,General Alvear,Carmensa,,--,--,--,,--,SI,SI,--
,General Alvear,General Alvear,SI,,SI,SI,SI,,SI,,--
MENDOZA,,Los Compartos,--,--,,--,SI,SI,,--,
MENDOZA,,,--,--,,,SI,SI,,--,
MENDOZA,Godoy Cruz,Godoy Cruz,,SI,SI,SI,,SI,SI,,SI
,Godoy Cruz,LAS TORTUGAS,,,--,SI,,,--,,--
MENDOZA,Godoy Cruz,,--,--,--,,--,--,--,--,
MENDOZA,,,--,--,,,SI,SI,,--,
MENDOZA,,Villa Hipodromo,--,--,,SI,SI,SI,,--,--
MENDOZA,,,--,--,--,,SI,SI,--,,--
,Grl. José de San Martín,Pacará,--,,--,--,--,,--,--,
MENDOZA,Malargüe,Malargüe,,SI,--,SI,,SI,SI,SI,
MENDOZA,,,--,--,,,--,--,,,--
MENDOZA,,Barrio Cooperativa Los Campamentos,--,--,,--,SI,--,,SI,--
MENDOZA,,,--,--,,,--,--,,SI,
MENDOZA,Rivadavia,,--,--,--,,--,SI,--,--,
,Rivadavia,El Mirador,--,,--,SI,--,,--,,--
MENDOZA,Rivadavia,La Central,,--,--,--,,SI,--,SI,--
,Rivadavia,La Esperanza,,,--,--,,,--,SI,
,Rivadavia,La Florida,--,,--,--,--,,--,SI,
MENDOZA,,,--,--,,,--,--,,,--
MENDOZA,,Los Árboles,--,--,,--,--,--,,,--
,Rivadavia,Los Campamentos,--,,--,--,SI,,SI,SI,
MENDOZA,Rivadavia,Medrano,,--,SI,--,,,SI,SI,--
MENDOZA,Rivadavia,,--,--,--,,SI,SI,--,,--
MENDOZA,,Reducción de Abajo,--,--,,--,--,--,,SI,--
MENDOZA,Rivadavia,Rivadavia,,--,SI,SI,,SI,SI,SI,
,Rivadavia,Santa María de Oro,,,--,--,,,--,SI,--
,General Manuel Belgrano,Bernardo de Irigoyen,--,,--,SI,SI,,SI,--,--
,General Manuel Belgrano,Caburei,,,--,--,,,--,,--
MISIONES,,Dos Hermanas,--,--,,--,SI,--,,--,--
MISIONES,,,--,--,,,--,--,,--,
,General Manuel Belgrano,Piñalito Norte,,,--,--,,--,--,,--
,General Manuel Belgrano,Puerto Andresito,--,,--,--,--,,--,,--
,General Manuel Belgrano,Puerto Deseado,,,--,--,,,--,--,--
,General Manuel Belgrano,San Antonio,--,,--,--,SI,,SI,--,
MISIONES,,,--,--,,,SI,--,,SI,SI
MISIONES,,Fracrán,--,--,,--,SI,SI,,,--
MISIONES,,San Vicente,--,--,,SI,SI,SI,,SI,
MISIONES,Iguazú,,SI,SI,--,,SI,SI,SI,SI,--
,Iguazú,Libertad,SI,,--,--,,,SI,,--
MISIONES,Iguazú,Puerto Iguazú,,SI,--,SI,,SI,SI,--,SI
MISIONES,Iguazú,,--,--,--,,--,--,--,--,--
NEUQUEN,,,SI,SI,,,SI,SI,,SI,
,Lácar,Villa Lago Meliquina,SI,,--,SI,SI,,SI,,--
,Loncopué,Chorriaca,,,--,--,,,--,,SI
NEUQUEN,,Loncopué,--,SI,,--,SI,--,,SI,
NEUQUEN,,,SI,--,,,SI,SI,,SI,
NEUQUEN,Los Lagos,,--,--,--,,--,--,SI,,SI
NEUQUEN,,Andacollo,SI,--,,,--,--,,,SI
NEUQUEN,Minas,Huinganco,,--,SI,--,,--,SI,SI,
,Minas,Las Ovejas,--,,--,--,--,,SI,SI,--
NEUQUEN,,,--,--,,,--,--,,--,--
NEUQUEN,Minas,,--,--,--,,--,--,--,,--
NEUQUEN,,,--,--,,,SI,--,,SI,
NEUQUEN,,Villa del Nahueve,--,--,,--,--,--,,SI,
,Bariloche,San Carlos de Bariloche,,,SI,SI,,,SI,,SI
,Bariloche,Villa Campanario,--,,--,--,SI,,--,,--
,Bariloche,Villa Catedral,SI,,--,--,SI,,SI,--,
RIO NEGRO,Bariloche,Villa Llao Llao,,--,--,--,,SI,SI,--,--
RIO NEGRO,,Villa Los Coihues,--,--,,,SI,SI,,,SI
RIO NEGRO,Bariloche,,--,--,--,,SI,SI,--,,--
RIO NEGRO,Conesa,Barrio Colonia Conesa,,--,--,--,,--,--,--,--
,Conesa,Barrio Planta Compresora de Gas,,,--,--,,,--,--,
RIO NEGRO,,General Conesa,SI,--,,SI,SI,SI,,SI,SI
RIO NEGRO,,,--,--,,,--,--,,,SI
,El Cuy,Cerro Policía,--,,--,SI,SI,,SI,--,--
,El Cuy,El Cuy,,,SI,--,,,SI,--,
RIO NEGRO,El Cuy,Las Perlas,,--,--,SI,,--,--,,SI
,El Cuy,Mencué,,,--,--,,,SI,--,SI
SALTA,Anta,,--,SI,--,,SI,SI,SI,--,
SALTA,,Gaona,--,SI,,SI,SI,--,,--,SI
,Anta,General Pizarro,,,--,SI,,,--,,SI
SALTA,Anta,Joaquín V. González,,SI,--,SI,,SI,SI,,SI
SALTA,Anta,Las Lajitas,,,--,SI,,SI,SI,SI,SI
,Anta,Luis Burela,--,,--,--,--,,--,SI,
SALTA,Anta,,--,--,--,,--,--,,--,--
SALTA,,Nuestra Señora de Talavera,--,--,,--,SI,SI,,,--
SALTA,,,--,--,,,--,--,,SI,
SALTA,Anta,,--,--,--,,--,--,--,SI,SI
,Anta,Tolloche,,,--,SI,,,--,,SI
SALTA,Cachi,Cachi,,--,--,SI,,SI,SI,SI,SI
SALTA,Cachi,,--,--,--,,SI,--,SI,SI,
SALTA,,Cafayate,SI,--,,SI,SI,SI,,SI,
,Rawson,Rawson,SI,,SI,--,SI,,SI,,SI
SAN JUAN,Rawson,Villa Bolaños,,--,--,--,,,--,,--
SAN JUAN,,Villa Krause,--,--,,--,SI,SI,,SI,--
SAN JUAN,Rivadavia,,SI,--,,,SI,SI,SI,SI,
SAN JUAN,San Martín,,--,--,--,,--,--,--,,--
SAN JUAN,,,--,--,,,--,--,,,--
SAN JUAN,San Martín,San Isidro (Est. Los Angacos),,--,--,--,,SI,--,SI,
,San Martín,Villa Dominguito (Est. Puntilla Blanca),,,--,--,,,--,SI,
SAN JUAN,,,--,--,,SI,SI,SI,,SI,--
SAN JUAN,San Martín,,--,--,--,,--,--,--,,--
SAN JUAN,,Villa San Martín,--,--,,--,SI,SI,,SI,
SAN JUAN,,,--,--,--,,SI,SI,--,SI,
,Santa Lucía,Colonia Gutierrez,--,,--,--,SI,,--,,--
SAN JUAN,Santa Lucía,Santa Lucía,,--,SI,SI,,SI,SI,,--
SAN JUAN,Sarmiento,Cañada Honda,,--,--,SI,,--,SI,SI,SI
,Gobernador Dupuy,Unión,,,--,--,,,SI,SI,
SAN LUIS,Junín,,--,--,--,,--,--,--,,--
SAN LUIS,,,--,--,,,--,--,,,--
,Junín,Carpinteria,SI,,--,--,SI,,SI,SI,
SAN LUIS,Junín,Cerrito Blanco,,--,--,--,,--,--,--,--
SAN LUIS,Junín,,SI,SI,--,,--,--,SI,,--
SAN LUIS,,El Duraznito,--,--,,--,--,--,,--,--
,Junín,La Chilca,,--,--,--,,--,--,--,
,Junín,La Lomita,--,,--,--,--,,--,--,--
,Junín,Lafinur,,,--,--,,,--,SI,--
SAN LUIS,Junín,Las Palomas,,--,--,--,,--,--,,--
SAN LUIS,,,--,--,,,--,--,,SI,--
SAN LUIS,Junín,,--,--,--,,--,--,--,--,
SAN LUIS,Junín,Los Molles,,--,--,--,,--,SI,,--
,Junín,Merlo,SI,,--,SI,,,SI,,--
,Junín,Ojo Del Rio,--,,--,--,--,,--,--,
,Junín,Santa Ana,,,--,--,,,--,--,--
SAN LUIS,,Santa Rosa del Conlara,SI,--,,--,SI,SI,,,--
SANTA FE,,,--,SI,,,SI,--,,--,--
SANTA FE,Caseros,,SI,SI,--,,SI,SI,SI,--,--
SANTA FE,,Los Nogales,--,SI,,--,--,--,,--,
SANTA FE,Caseros,Los Quirquinchos,,--,--,--,,SI,SI,SI,--
,Caseros,San José de la Esquina,,,--,--,SI,,SI,,--
SANTA FE,,,SI,--,,,SI,SI,,--,
SANTA FE,Caseros,,SI,SI,--,,SI,--,SI,--,
,Castellanos,Aldao (Est. Casablanca),,,--,SI,,,SI,,--
,Castellanos,Angélica,SI,,--,SI,SI,,SI,,--
SANTA FE,,,SI,SI,,,SI,SI,,SI,
SANTA FE,,Aurelia,--,--,,--,--,--,,SI,--
SANTA FE,,,--,--,,,SI,--,,,--
SANTA FE,General López,,SI,--,--,,SI,SI,SI,,SI
,General López,Teodelina,--,,--,--,SI,,SI,SI,
SANTA FE,General López,Venado Tuerto,,SI,--,SI,,SI,SI,SI,
SANTA FE,General López,,SI,SI,--,,SI,SI,SI,,--
SANTA FE,,,--,SI,,,SI,SI,,SI,SI
SANTA FE,General Obligado,,--,--,--,,SI,--,SI,SI,--
SANTA FE,,Avellaneda (Est. Ewald),SI,SI,,,SI,SI,,SI,
SANTA FE,General Obligado,Berna,,--,--,--,,--,SI,,--
,General Obligado,El Araza,--,,--,--,SI,,SI,,--
,General Obligado,El Rabón,--,,--,--,SI,,--,SI,
,Las Colonias,Sarmiento,,,--,--,,,SI,SI,
SANTA FE,,Acebal,SI,SI,,SI,SI,--,,,--
SANTA FE,,,--,--,,,--,--,,SI,--
SANTA FE,Rosario,Álvarez,,SI,--,SI,,SI,SI,--,--
,Rosario,Alvear,SI,,--,SI,SI,,SI,SI,
SANTA FE,,Arbilla,SI,--,,--,--,--,,--,--
SANTA FE,Rosario,,--,SI,--,,--,--,SI,,--
,Rosario,Arroyo Seco,SI,,--,SI,,,SI,SI,--
SANTA FE,Rosario,Carmen del Sauce,,--,--,SI,,--,--,SI,
,Rosario,Coronel Bogado,,,--,SI,,,SI,,--
,Rosario,Coronel Rodolfo S. Domínguez,--,,--,--,SI,,SI,--,--
SANTA FE,,,--,--,,,--,--,,--,
SANTA FE,,El Caramelo,SI,--,,SI,--,--,,--,--
,San Justo,Pedro Gómez Cello,--,,--,--,SI,,SI,SI,--
,San Justo,Ramayón,,--,--,--,,--,SI,,--
,San Justo,San Bernardo,,,--,--,,,--,SI,
,San Justo,San Justo,SI,,--,SI,SI,,SI,SI,--
SANTA FE,,,--,--,,,SI,--,,,--
SANTA FE,,Silva (Est. Abipones),--,--,,--,--,--,,SI,--
SANTA FE,,,SI,--,,,SI,--,,SI,--
SANTA FE,San Justo,,SI,--,--,,SI,--,SI,SI,
,San Lorenzo,Aldao,--,,--,--,SI,,SI,--,--
SANTA FE,San Lorenzo,Capitán Bermúdez,,SI,--,SI,,SI,SI,,--
SANTA FE,San Lorenzo,,SI,SI,--,,SI,SI,SI,--,
SANTIAGO DEL ESTERO,,,--,--,,,SI,--,,SI,--
,Copo,Monte Quemado,--,,--,SI,SI,,SI,,SI
,Copo,Nueva Esperanza,,,--,--,,,--,SI,SI
SANTIAGO DEL ESTERO,,Pampa de los Guanacos,--,--,,SI,SI,--,,--,
SANTIAGO DEL ESTERO,,,--,--,,,--,--,,SI,
SANTIAGO DEL ESTERO,Copo,,--,--,--,,SI,--,--,,--
SANTIAGO DEL ESTERO,,Bandera Bajada,--,--,,SI,SI,--,,,--
SANTIAGO DEL ESTERO,Figueroa,Caspi Corral,,--,--,--,,--,--,SI,--
,Figueroa,Colonia San Juan,,,--,--,--,,--,--,
SANTIAGO DEL ESTERO,,,--,--,,,--,--,,,--
SANTIAGO DEL ESTERO,Figueroa,,--,--,--,,SI,--,--,--,--
SANTIAGO DEL ESTERO,Figueroa,,--,--,--,,SI,--,--,SI,
SANTIAGO DEL ESTERO,,La Invernada,--,--,,SI,--,--,,SI,--
,Figueroa,Minerva,,--,--,--,,--,--,,--
,Figueroa,Vaca Huañuna,--,,--,--,--,,--,,--
,Figueroa,Villa Figueroa,,,--,SI,,,--,SI,
TUCUMAN,Burruyacú,Villa Burruyacú,,--,--,SI,,--,--,SI,
TUCUMAN,,,--,--,,,--,--,,--,--
TUCUMAN,Capital,,SI,SI,SI,,SI,SI,SI,,SI
TUCUMAN,Chicligasta,Alpachiri,,--,--,--,,SI,--,--,
,Chicligasta,Alto Verde,--,,--,--,,,SI,--,--
TUCUMAN,,Arcadia,SI,--,,--,--,--,,,--
TUCUMAN,,,SI,SI,--,,SI,SI,SI,SI,--
,Chicligasta,Iltico,--,,--,--,SI,,--,--,
TUCUMAN,Chicligasta,La Trinidad,,--,--,--,,SI,SI,--,--
TUCUMAN,Chicligasta,Medina,,--,--,--,,--,--,--,--
,Chicligasta,San Roque,,,--,--,,,--,,--
TUCUMAN,Cruz Alta,,--,SI,--,,SI,SI,SI,--,--
TUCUMAN,,,--,SI,,,SI,SI,,SI,
,Cruz Alta,Barrio Aeropuerto,--,,--,--,SI,,--,,--
TUCUMAN,Cruz Alta,Colombres,,--,--,--,,SI,SI,--,--
,Cruz Alta,Colonia Mayo - Barrio La Milagrosa,--,,--,--,--,,--,--,--
TUCUMAN,Cruz Alta,Delfín Gallo,,--,--,--,,,SI,SI,
TUCUMAN,,El Bracho,--,--,,--,SI,SI,,SI,--
TUCUMAN,Cruz Alta,,--,--,,,SI,--,--,,--
TUCUMAN,Cruz Alta,,--,--,--,,SI,SI,--,--,
TUCUMAN,,,--,--,,,SI,SI,,--,--
TUCUMAN,Cruz Alta,Ex Ingenio Los Ralos,,--,--,--,,--,--,,--
,Cruz Alta,Ex Ingenio Lujan,,,--,--,,,--,--,--
TUCUMAN,,,--,--,,--,SI,SI,,--,--
TUCUMAN,Cruz Alta,,SI,--,--,,SI,SI,SI,SI,
TUCUMAN,Cruz Alta,Las Cejas,,,--,--,,SI,--,--,SI
,Cruz Alta,Lastenia,--,,--,--,SI,,--,,--
TUCUMAN,Cruz Alta,,--,--,--,,SI,SI,,--,
TUCUMAN,,Los Gutierrez,--,--,,--,SI,SI,,--,
TUCUMAN,,,--,--,,,--,--,,,--
TUCUMAN,Cruz Alta,,--,--,--,,--,--,--,,--
,Cruz Alta,Ranchillos,,,--,--,,,SI,SI,
TUCUMAN,Cruz Alta,San Andrés,,--,--,SI,,--,SI,--,--
TUCUMAN,Cruz Alta,,--,--,--,,SI,SI,--,--,--
TUCUMAN,,Villa Tercera,--,--,,--,--,--,,,--
TUCUMAN,,Barrio Casa Rosada,--,--,,--,SI,--,,--,--
TUCUMAN,,,--,--,,,SI,--,,--,
,Famaillá,Ex Ingenio Nueva Baviera,--,,--,--,SI,,--,,--
,Famaillá,Famaillá,,,--,SI,,,SI,,SI
TUCUMAN,Famaillá,Ingenio Fronterita,,--,--,--,,--,--,--,
,Graneros,Graneros,,,--,--,,,SI,SI,
TUCUMAN,Graneros,,--,--,--,,SI,SI,SI,,SI
TUCUMAN,,Taco Ralo,--,--,,--,SI,SI,,SI,--
,Juan Bautista Alberdi,Juan Bautista Alberdi,,,--,--,,,SI,--,SI
TUCUMAN,Juan Bautista Alberdi,Villa Belgrano,,--,--,--,,--,SI,--,
TUCUMAN,,,SI,--,,,SI,SI,,SI,SI
TUCUMAN,,San José de La Cocha,--,--,,--,--,--,,,SI
,Leales,Bella Vista,,,--,SI,,,SI,SI,--
,Leales,Estación Aráoz,--,,--,--,SI,,--,--,
,Leales,Los Puestos,--,,--,--,SI,,--,,--
TUCUMAN,Leales,Manuel García Fernández,,--,--,--,,--,SI,--,--
TUCUMAN,,Pala Pala,--,--,,,SI,--,,SI,
TUCUMAN,Leales,,--,--,--,,SI,SI,--,SI,--
TUCUMAN,Leales,Santa Rosa de Leales,,--,--,--,,SI,SI,SI,--
,Leales,Villa de Leales,,,--,--,,,SI,,--
TUCUMAN,Leales,Villa Fiad - Ingenio Leales,,--,--,--,,SI,SI,SI,
,Lules,Barrio Araujo,--,,--,--,SI,,--,--,--
TUCUMAN,Lules,,--,--,--,,SI,SI,--,,--
TUCUMAN,,,--,SI,,SI,SI,SI,,SI,--
TUCUMAN,,Ingenio San Pablo,SI,--,,SI,SI,SI,,SI,--
TUCUMAN,,,SI,--,,,SI,SI,,--,
,Río Chico,Santa Ana,SI,,--,--,SI,,SI,--,--
,Río Chico,Villa Clodomiro Hileret,,,--,--,,,--,,--
TUCUMAN,Simoca,,--,--,,,SI,SI,--,SI,
TUCUMAN,,Monteagudo,--,--,,--,SI,SI,,SI,
,Simoca,Nueva Trinidad,,,--,--,--,,--,,--
TUCUMAN,Simoca,Santa Cruz,,--,--,--,,--,--,,--
TUCUMAN,,Simoca,--,--,,--,SI,SI,,SI,
TUCUMAN,Simoca,,--,--,--,,--,--,--,SI,
TUCUMAN,,,--,--,,,SI,SI,,SI,SI
TUCUMAN,,Colalao del Valle,--,--,,--,SI,--,,,--
,Tafí del Valle,El Mollar,,,--,--,,,SI,SI,
,Tafí del Valle,Tafí del Valle,SI,,--,--,SI,,SI,SI,
TUCUMAN,,Barrio El Cruce,--,--,,--,SI,SI,,,--
TUCUMAN,Tafí Viejo,,SI,--,--,,SI,--,,--,--
TUCUMAN,Tafí Viejo,,SI,--,--,,SI,SI,SI,--,
TUCUMAN,,Barrio Parada 14,--,--,,--,SI,SI,,--,
TUCUMAN,Tafí Viejo,Barrio U.T.A. II,,--,--,--,,SI,--,,--
,Tafí Viejo,Diagonal Norte - Luz y Fuerza - Los Pocitos - Villa Nueva Italia (6),,,--,SI,,,SI,,--
,Lules,Lules,SI,,--,SI,SI,,SI,SI,
,Monteros,Acheral,,,--,SI,,,SI,SI,
TUCUMAN,,Capitán Cáceres,--,--,,--,--,--,,SI,--
TUCUMAN,,,SI,--,,,SI,SI,,,--
,Monteros,Pueblo Independencia,,,--,--,,SI,SI,--,
,Monteros,Río Seco,SI,,--,SI,SI,,SI,SI,--
TUCUMAN,,,SI,--,,,SI,--,,,--
TUCUMAN,Monteros,,--,--,--,,--,--,--,SI,--
,Monteros,Soldado Maldonado,--,,--,--,--,,--,--,
TUCUMAN,Monteros,Teniente Berdina,,--,--,--,,--,--,SI,--
,Monteros,Villa Quinteros,,,--,--,,,SI,SI,--
,Río Chico,Aguilares,SI,,--,--,SI,,SI,,--
TUCUMAN,,,--,--,,,SI,SI,,--,--
TUCUMAN,,Los Sarmientos,SI,--,,--,--,--,,--,
,Río Chico,Río Chico,--,,--,--,--,,--,,--
TUCUMAN,Tafí Viejo,El Cadillal,,--,--,--,,,SI,--,--
TUCUMAN,Tafí Viejo,Tafí Viejo,,SI,--,SI,,SI,SI,SI,
,Tafí Viejo,Villa Las Flores,,,--,--,,,--,--,--
TUCUMAN,Tafí Viejo,,--,SI,--,,SI,SI,SI,,--
TUCUMAN,,,--,--,,,SI,SI,,--,--
TUCUMAN,,San Pedro de Colalao,--,--,,--,SI,SI,,SI,--
TUCUMAN,,,SI,--,--,,SI,SI,SI,SI,
,Yerba Buena,Barrio San José III,--,,--,--,SI,,--,--,--
TUCUMAN,Yerba Buena,Cevil Redondo,,--,--,--,,SI,--,,--
TUCUMAN,,,--,--,,,--,--,,--,
TUCUMAN,,EX INGENIO SAN JOSE,--,--,,--,SI,SI,,--,--
,Yerba Buena,Villa Carmela,,,--,--,,,SI,,--
TUCUMAN,Yerba Buena,Villa San Javier,,--,--,--,,SI,--,--,--
TUCUMAN,,,SI,SI,,,SI,SI,,--,
SANTA FE,San Lorenzo,,SI,SI,--,,SI,SI,SI,SI,
SANTA FE,San Lorenzo,,SI,--,--,,SI,SI,SI,,SI
SANTA FE,,Villa Elvira,--,--,,--,SI,SI,,,--
,San Lorenzo,Villa Mugueta,,SI,--,--,,--,SI,--,
,San Martín,Cañada Rosquín,--,,--,--,SI,,SI,--,
SANTA FE,,Carlos Pellegrini,SI,--,,--,SI,SI,,,--
SANTA FE,,,--,SI,,,SI,--,,--,--
SANTA FE,,,--,--,,,SI,--,,SI,--
SANTA FE,San Martín,,--,SI,--,,SI,--,--,--,
,San Martín,Crispi,,,--,--,,,SI,,--
SANTA FE,San Martín,El Trébol,,SI,--,SI,,SI,SI,,--
SANTA FE,San Martín,Landeta,,,--,--,,SI,SI,--,
,San Martín,Las Bandurrias,--,,--,--,SI,,--,--,
SANTA FE,San Martín,,--,--,--,,SI,--,,,--
SANTA FE,,Los Cardos,SI,SI,,--,SI,SI,,--,SI
,San Martín,María Susana,SI,,--,SI,SI,,SI,SI,--
,San Martín,Piamonte,,,--,--,,,SI,--,
SANTA FE,San Martín,,SI,SI,--,,SI,SI,SI,SI,SI
SANTA FE,,,SI,SI,,,SI,SI,,,--
SANTA FE,San Martín,Sastre,,--,--,SI,,SI,SI,SI,--
,San Martín,Traill,,,--,--,,,--,--,
,San Martín,Wildermuth (Est. Granadero B. Bustos),--,,--,--,--,,--,,--
SANTA FE,Vera,Calchaquí,,--,--,--,,,SI,SI,SI
SANTA FE,,Cañada Ombú,--,--,,--,SI,--,,SI,
SANTA FE,Vera,,--,--,,,--,--,--,--,SI
,Vera,Fortín Olmos,,,--,--,,,SI,,SI
,Vera,Garabato,--,,--,--,SI,,SI,,--
,Vera,Golondrina,--,,--,--,SI,,SI,SI,--
SANTA FE,Vera,Intiyaco,,--,--,--,,--,SI,SI,
SANTA FE,,,--,--,,,--,--,,SI,--
SANTA FE,Vera,,--,--,--,,SI,--,SI,,--
SANTA FE,,,--,--,,,SI,--,,SI,
SANTA FE,,Margarita,--,SI,,--,SI,SI,,SI,SI
,Vera,Paraje 29,,,--,--,,,--,,SI
,Vera,Pozo de los Indios,--,,--,--,--,,--,SI,SI
SANTA FE,,Pueblo Santa Lucía,--,--,,--,SI,--,,SI,--
SANTA FE,,,--,--,,,SI,--,--,SI,
SANTA FE,Vera,Toba,,--,--,--,,--,--,SI,SI
,Vera,Vera (Est. Gobernador Vera),,,--,--,,,SI,,--
SANTIAGO DEL ESTERO,Aguirre,,--,--,--,,SI,--,--,--,
SANTIAGO DEL ESTERO,,Malbrán,SI,--,,--,SI,SI,,--,
SANTIAGO DEL ESTERO,,Villa General Mitre (Est. Pinto),--,SI,,--,SI,SI,,,SI
SANTIAGO DEL ESTERO,,,--,--,,,SI,--,,,SI
,Alberdi,Coronel Manuel L. Rico,--,,--,--,--,,--,--,
,Alberdi,Donadeu,,,--,SI,,,--,--,--
SANTIAGO DEL ESTERO,Alberdi,,--,--,--,,SI,--,,--,SI
SANTIAGO DEL ESTERO,,Santos Lugares,--,--,,SI,--,--,,,SI
SANTIAGO DEL ESTERO,,,--,--,,,SI,--,,--,
SANTIAGO DEL ESTERO,,Medellín,--,--,,SI,--,--,,SI,
,Atamisqui,Villa Atamisqui,,,--,SI,,,SI,,SI
,Avellaneda,Colonia Dora,SI,,--,--,SI,,SI,,SI
,Avellaneda,Herrera,,,--,--,SI,,SI,--,SI
SANTIAGO DEL ESTERO,Banda,Tramo 20,,--,--,--,,--,--,--,
SANTIAGO DEL ESTERO,,Bandera,--,SI,,SI,SI,SI,,,SI
SANTIAGO DEL ESTERO,Belgrano,,--,--,--,,--,--,SI,,SI
SANTIAGO DEL ESTERO,Belgrano,Fortín Inca,,--,--,--,,--,SI,SI,
,Belgrano,Guardia Escolta,,,--,--,,,SI,SI,SI
SANTIAGO DEL ESTERO,,El Deán,--,--,,--,SI,SI,,,--
SANTIAGO DEL ESTERO,,,--,--,,,--,--,,SI,SI
,Capital,El Zanjón,--,,--,--,--,,--,SI,
,Capital,Los Cardozos,,,--,SI,,,--,SI,--
SANTIAGO DEL ESTERO,Capital,Maco,,--,--,--,,SI,--,SI,--
,Capital,Maquito,--,,--,--,SI,,--,,SI
SANTIAGO DEL ESTERO,Capital,,--,--,--,,--,--,--,SI,--
SANTIAGO DEL ESTERO,,,--,--,,--,SI,--,,--,
,Capital,San Pedro,,,--,--,,,--,,--
SANTIAGO DEL ESTERO,Capital,Santa María,,--,--,--,,--,--,,--
,Avellaneda,Icaño,,,--,--,,,SI,SI,
SANTIAGO DEL ESTERO,Avellaneda,Lugones,,SI,--,--,,SI,SI,--,SI
SANTIAGO DEL ESTERO,,,--,SI,,,SI,SI,,,--
SANTIAGO DEL ESTERO,Avellaneda,,--,--,--,,SI,--,--,SI,SI
SANTIAGO DEL ESTERO,,,--,--,--,,--,--,--,--,--
SANTIAGO DEL ESTERO,,Antajé,--,--,,--,--,--,,--,
SANTIAGO DEL ESTERO,Banda,Ardiles,,--,--,--,,,--,--,--
,Banda,Cañada Escobar,--,,--,--,--,,--,,--
SANTIAGO DEL ESTERO,,Chaupi Pozo,--,--,,SI,SI,--,,--,
